WBS,Task Name,link,begin,end,Predecessors,is soft pred.1,is soft pred.2,Details,Start,Finish,Duration,% Complete,Status,Assigned To,Comments
1.6.1.2.4,Divisible by 9,https://www.youtube.com/watch?v=XAzFGx3Ruig,,0:54,44,,,rule to determine if a number is divisible by 9,,,1,,,,
1.6.1.2.5,Divisible by 10 and its powers,,,,44,,,rule to determine if a number is divisible by 10,,,1,,,,
1.6.1.3,Multiples,,,,,,,,,,,,,,
1.6.1.3.1,Introduction to Multiples,https://www.youtube.com/watch?v=LUmbdLGeVQw,4:33,5:11,6,,,a is a multiple of b if a is divisible by b,,,1,,,,
1.6.1.3.2,LCM,https://www.youtube.com/watch?v=QUem_2dkB9I,,,"6, 57",,,minimum nmber which is divisible by two or more numbers. Factorization method to find LCM,,,1,,,,
1.6.2,remainders,,,,6,,,possible remainders when a is divided by b,,,1,,,,
1.6.3,Factorization,,,,,,,,,,,,,,
1.6.3.1,Introduction to factorization,https://www.youtube.com/watch?v=gYvIcPLg3NI,,,6,,,"fators of a number, factors exist in pair",,,1,,,,
1.6.3.2,Prime Factorization,https://www.youtube.com/watch?v=XWq8bplP-_E,,,59,,,"how to get all prime factors, get all factors when prime factors are known",,,1,,,,
1.6.3.3,GCF,"https://www.youtube.com/watch?v=jFd-6EPfnec
https://www.youtube.com/watch?v=Ck_9LlabVt8",,2:27,57,,,"what is GCF, division and factorisation method to get GCF",,,1,,,,
1.6.4,Prime Numbers,https://www.youtube.com/watch?v=9pgA-H77BLc,,,56,,,What is prime number,,,1,,,,
1.7.,"Ratio, Proportion, Percentage",,,,,,,,,,,,,,
1.7.1,Percent,,,,,,,,,,,,,,
1.7.1.1,Introduction to Percents,https://www.youtube.com/watch?v=Lvr2YsxG10o,,,21,,,"what is percent, percentage of a number,more than 100%",,,1,,,,
1.7.1.2,Percent Change,https://www.youtube.com/watch?v=TpZXX-GsmB0,,,62,,,"meaning of percent change, how to compute",,,1,,,,
1.7.1.3,Chain Percentage,,,,62,,,"chain percntage change is not additive, need to be computed sequentially",,,1,,,,
1.7.1.4,Inverting Percent change,,,,63,,,getting back the original value from the changed value,,,1,,,,
1.7.2,Ratio,,,,,,,,,,,,,,
1.7.2.1,Introduction to ratio,https://www.youtube.com/watch?v=bIKmw0aTmYc,,,21,,,"what is ratio, ratio of two or more items, ratio is similar to fraction,getting fraction of total when ratio is given and viceversa.",,,1,,,,
1.7.2.2,Chain ratio,,,,67,,,"a:b amd b:c given, get a:b:c",,,1,,,,
1.7.3,Proportion,"https://www.youtube.com/watch?v=JeugfMGDSIc
https://www.youtube.com/watch?v=P_aQPxr2G_4",,,67,,,proportion is equating two ratios and then getting one unknown value ( almost similar to unitary method),,,1,,,,
1.8.,Sequence,,,,,,,,,,,,,,
1.8.1,Introduction to sequence,https://www.youtube.com/watch?v=p-rc5mTDt9E,,1:41,6,,,"what is sequence, the staring term, the succession rule, observing a few terms and formulationg the rule",,,1,,,,
1.8.2,Arithmetic Progression,"https://www.youtube.com/watch?v=_cooC3yG_p0
https://www.youtube.com/watch?v=xWHfQGBzgbc",,2:44,71,,,"what is AP, common difference,nth term in AP, sum of AP, average of AP",,,1,,,,
1.8.3,Geometric Progression,https://www.youtube.com/watch?v=dIGLhLMsy2U,,2:18,71,,,"what is GP, common ratio, nth term of GP, sum of finite and infinite GP",,,1,,,,
1.8.4,Mixed,,,,71,,,"AP and GP mixed, find pattern and guess next",,,1,,,,
1.9.,Arithmetic word Problems,,,,6,,,Word Problems that don't need any unknown assumption to solve,,,1,,,,
1.10.,Counting Problems,,,,,,,,,,,,,,
1.10.1,Listing all possible options,,,,95,,,"how to serially count things, how to avoid risk of duplicacy,",,,1,,,,
1.10.2,Permutations,,,,,,,,,,,,,,
1.10.2.1,Introduction to permutation,https://www.youtube.com/watch?v=uYwjFWqVSBE,,,6,,,"factorial, permutations, arrangements and similar terms. How to compute number of permutations",,,1,,,,
